,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
146,1390,73,56,49,4.0,D,3.21,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
147,1391,83,81,73,2.0,A,3.44,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,1400.0
148,1392,98,74,96,4.0,A,4.0,0,0,1,0,0,2,0,0,0,0,0,Female,0.0,3499.0
149,1393,65,64,73,4.0,R,3.9,0,0,0,0,0,0,1,0,0,0,0,Female,0.0,0.0
150,1394,18,90,11,4.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
151,1395,80,64,30,4.0,A,3.79,0,0,0,0,0,1,1,0,0,0,0,Female,0.0,0.0
152,1397,77,52,92,4.0,R,3.61,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,0.0
153,1398,73,64,73,1.0,R,3.47,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
154,1399,98,94,30,2.0,R,3.78,0,0,0,0,0,1,0,0,0,0,1,Male,0.0,0.0
155,1404,92,42,32,0.0,A,3.55,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
156,1405,80,31,73,1.0,A,3.8,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,426.0
157,1407,90,86,96,2.0,R,3.92,0,0,0,0,0,1,1,0,0,0,0,Female,0.0,0.0
158,1408,97,52,96,4.0,A,3.97,1,0,0,0,0,2,0,0,0,0,0,Female,1.0,8461.0
159,1410,28,97,30,4.0,A,3.0,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,0.0
160,1411,53,97,11,4.0,A,3.0,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
161,1412,73,48,73,2.0,D,3.57,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
162,1413,83,98,30,4.0,R,3.0,0,0,0,0,0,0,0,1,0,0,0,Female,0.0,0.0
163,1414,99,48,73,2.0,A,2.85,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,640.0
164,1415,36,1,30,4.0,D,3.33,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
165,1416,53,48,49,2.0,D,2.38,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
166,1418,49,97,30,4.0,A,3.76,0,0,1,0,0,1,0,1,0,0,0,Female,0.0,92.0
167,1419,44,97,30,4.0,R,4.0,0,0,0,0,0,2,0,0,0,0,0,Male,0.0,0.0
168,1420,83,90,11,4.0,A,4.0,0,0,0,0,0,2,0,0,0,0,1,Female,0.0,0.0
169,1421,53,88,11,4.0,D,2.0,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
170,1422,40,9,30,4.0,R,3.49,0,0,0,0,0,3,0,0,0,0,0,Female,0.0,0.0
171,1424,80,43,73,4.0,D,3.24,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
172,1425,65,99,11,4.0,R,4.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
173,1426,44,94,11,4.0,D,3.0,0,0,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
174,1428,97,73,63,4.0,A,3.88,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
175,1431,61,68,49,4.0,A,3.12,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
176,1433,73,25,35,3.0,A,2.97,1,0,0,0,0,0,0,0,0,0,0,Male,0.0,4110.0
177,1435,93,69,93,1.0,R,3.96,0,0,0,0,1,0,1,1,0,0,0,Female,0.0,0.0
178,1436,91,65,78,2.0,R,3.44,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
179,1437,28,96,35,4.0,D,2.0,0,0,0,0,0,1,0,0,0,0,0,Female,0.0,0.0
180,1438,95,81,96,1.0,A,3.58,1,0,0,0,0,2,0,1,0,0,0,Male,0.0,1642.0
181,1439,77,35,49,1.0,A,3.73,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,1521.0
182,1440,93,14,92,1.0,A,3.48,0,0,1,0,0,2,0,0,0,0,0,Female,1.0,456.0
183,1444,62,61,0,4.0,A,3.79,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
184,1445,81,24,37,4.0,A,3.26,1,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
185,1446,94,69,48,1.0,A,3.84,0,0,1,0,0,1,1,0,0,0,0,Female,0.0,2342.0
186,1447,95,74,73,2.0,A,3.83,0,0,1,0,0,1,1,0,0,0,0,Female,0.0,1461.0
187,1448,10,52,11,4.0,R,3.33,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
188,1449,95,45,93,2.0,A,3.9,1,0,0,0,0,0,0,0,0,0,0,Female,0.0,1918.0
189,1450,58,91,14,4.0,D,3.0,0,0,1,0,1,0,0,0,0,0,1,Male,0.0,0.0
190,1452,87,50,96,1.0,A,3.85,0,1,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
191,1453,93,53,96,1.0,A,4.0,0,0,1,0,0,2,0,0,0,0,0,Female,0.0,792.0
192,1454,99,61,54,1.0,R,3.43,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
193,1455,78,18,35,1.0,A,3.0,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
194,1457,93,75,78,4.0,A,3.75,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,181.0
195,1459,91,22,54,4.0,D,2.8,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
196,1460,0,0,0,1.0,A,3.38,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
197,1461,96,61,54,1.0,A,2.93,0,0,1,0,0,2,0,0,0,0,0,Male,1.0,1277.0
198,1462,46,10,10,1.0,A,3.3,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,3284.0
199,1465,96,22,78,2.0,A,3.91,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,153.0
200,1466,66,22,54,4.0,A,3.38,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,2284.0
201,1467,66,29,78,4.0,A,3.82,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,2224.0
202,1468,62,98,14,0.0,D,2.0,0,0,1,0,0,0,0,1,0,0,1,Male,0.0,0.0
203,1469,99,75,99,1.0,A,3.9,1,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
204,1470,91,15,54,4.0,D,2.82,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
205,1471,12,88,11,4.0,A,4.0,0,1,0,0,0,0,0,0,0,0,0,Male,0.0,0.0
206,1472,73,33,54,2.0,A,3.8,0,0,1,0,0,0,0,3,0,0,0,Female,1.0,8947.0
207,1473,36,18,6,4.0,R,3.84,0,0,0,0,0,0,1,0,0,0,0,Male,0.0,0.0
