GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Competition,Gender,Ethnicity,First Generation,work_experience_int
46,10,10,1.0,A,3.3,0,0,1,0,0,0,0,0,0,0,Female,Hispanic,0.0,3284.0
96,22,78,2.0,A,3.91,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,153.0
66,22,54,4.0,A,3.38,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,2284.0
66,29,78,4.0,A,3.82,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,2224.0
62,98,14,0.0,D,2.0,0,0,1,0,0,0,0,1,0,1,Male,Not Reported,0.0,0.0
99,75,99,1.0,A,3.9,1,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
91,15,54,4.0,D,2.82,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
12,88,11,4.0,A,4.0,0,1,0,0,0,0,0,0,0,0,Male,Not Reported,0.0,0.0
73,33,54,2.0,A,3.8,0,0,1,0,0,0,0,3,0,0,Female,White,1.0,8947.0
36,18,6,4.0,R,3.84,0,0,0,0,0,0,1,0,0,0,Male,White,0.0,0.0
89,60,49,1.0,R,4.0,0,0,1,0,1,1,0,0,0,0,Female,White,0.0,1705.0
87,22,93,1.0,A,4.0,0,0,1,0,0,0,0,0,0,0,Female,White,1.0,0.0
83,35,49,1.0,A,3.08,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,1645.0
36,23,30,4.0,R,3.37,0,0,1,0,0,0,0,0,0,0,Male,Hispanic,0.0,0.0
99,72,93,1.0,A,3.29,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,2496.0
18,87,14,4.0,A,3.0,0,0,1,0,1,0,0,0,1,0,Female,Not Reported,0.0,212.0
24,57,14,4.0,R,4.0,0,0,1,0,0,0,0,0,0,1,Female,Not Reported,0.0,0.0
99,39,81,1.0,A,3.71,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
75,59,84,4.0,A,3.6,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
89,53,29,4.0,A,3.92,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
95,39,49,2.0,A,3.61,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,0.0
81,53,93,2.0,A,3.8,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,730.0
84,18,93,4.0,A,3.82,0,0,1,0,0,2,0,0,0,0,Female,American Indian or Alaska Native,1.0,151.0
44,95,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
91,84,78,1.0,R,3.39,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
81,45,35,4.0,A,3.33,0,0,1,0,1,0,0,0,0,0,Male,White,0.0,1402.0
98,81,93,2.0,A,3.96,0,0,1,0,0,1,2,0,0,0,Female,White,1.0,213.0
98,11,97,4.0,A,3.81,0,0,1,0,1,1,0,0,0,0,Female,White,0.0,790.0
40,78,14,4.0,A,4.0,0,0,0,0,0,0,0,0,0,0,Female,Not Reported,0.0,0.0
49,78,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
98,25,54,1.0,R,3.99,0,0,0,0,2,0,0,0,0,0,Female,Not Reported,0.0,0.0
40,25,78,2.0,R,3.88,0,0,0,0,0,0,0,0,1,0,Female,American Indian or Alaska Native,0.0,0.0
93,37,99,1.0,R,3.9,0,0,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
99,93,14,3.0,R,4.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
62,89,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,Male,Not Reported,0.0,0.0
36,95,6,3.0,A,3.0,0,0,1,0,0,0,0,0,0,0,Female,Not Reported,0.0,426.0
70,11,78,2.0,A,3.89,0,0,1,0,0,3,0,0,0,0,Female,Hispanic,0.0,61.0
44,98,14,4.0,D,3.0,0,0,0,0,0,0,0,1,0,0,Female,Not Reported,0.0,0.0
53,18,14,4.0,D,2.26,0,0,0,0,0,0,0,0,0,0,Female,Asian,0.0,0.0
40,95,14,4.0,A,2.67,0,0,1,0,0,0,0,0,0,2,Male,Not Reported,0.0,92.0
98,91,54,4.0,D,2.08,0,0,0,0,0,0,0,0,0,0,Male,White,0.0,0.0
58,37,54,4.0,R,3.92,0,0,0,0,0,1,1,0,0,0,Female,Hispanic,0.0,0.0
93,56,48,4.0,R,4.0,0,0,0,0,1,1,0,0,0,0,Female,White,0.0,0.0
40,22,72,1.0,R,3.41,0,0,0,0,0,0,0,0,0,0,Female,Hispanic,0.0,0.0
94,69,72,4.0,A,3.67,0,0,1,0,0,0,0,0,0,0,Female,White,0.0,365.0
73,45,78,2.0,A,3.29,0,0,1,0,0,0,0,0,0,0,Male,White,0.0,0.0
97,43,73,1.0,R,3.62,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
89,65,54,1.0,R,3.4,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
93,33,93,2.0,A,3.63,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,639.0
97,87,54,2.0,R,3.94,0,0,0,0,0,0,0,0,0,0,Female,White,0.0,0.0
86,26,48,2.0,A,3.87,0,0,1,0,0,1,0,0,0,0,Female,White,0.0,606.0
78,93,14,3.0,A,4.0,0,0,1,0,0,0,2,0,0,0,Male,Not Reported,0.0,578.0
99,75,54,1.0,D,2.12,0,0,0,0,0,2,0,0,0,0,Female,White,0.0,0.0
97,33,78,3.0,R,3.82,0,0,0,0,0,1,1,0,0,0,Male,White,0.0,0.0
49,33,54,3.0,A,3.4,0,0,1,0,0,0,1,0,0,0,Male,White,0.0,3896.0
24,97,14,3.0,A,3.78,0,0,1,0,0,0,0,0,0,0,Male,Not Reported,0.0,214.0
53,96,14,3.0,R,4.0,0,0,0,0,0,2,0,0,0,0,Female,Not Reported,0.0,0.0
